number,title,date,stock
530728,'Tickets sold out within minutes for the May 11 reopening of Shanghai Disneyland' -Tweet From CNBC,2020-05-08 10:08:00-04:00,FXI
530731,Trump Says Is Having A 'Hard Time' With China On Trade Talks,2020-05-08 08:35:00-04:00,FXI
530730,Trump Says Has Not Yet Made A Decision On China Trade Deal,2020-05-08 08:35:00-04:00,FXI
530732,"Trump Says Does Not Believe China Released The Coronavirus On Purpose, Says Will Decide Soon On WHO Funding",2020-05-08 08:27:00-04:00,FXI
530733,"US, China Trade Reps Talk By Phone",2020-05-08 06:16:00-04:00,FXI
1261354,Tesla Aims to Restart Fremont Plant as Early as Friday,2020-05-08 06:08:00-04:00,TSLA
1261356,"Tesla Confirms Shanghai Gigafactory Shutdown, But Says It's All 'According To Plan'",2020-05-08 03:46:00-04:00,TSLA
1261357,Elon Musk Says Tesla Battery Patent 'Way More Important Than It Sounds',2020-05-08 02:47:00-04:00,TSLA
1261358,'Elon Musk said in a podcast interview released on Thursday that the company's planned Roadster sports car would take a backseat to the development of other vehicle model' -Reuters,2020-05-07 17:52:00-04:00,TSLA
1261359,"Elon Musk Talks Neuralink, Brain Stimulation And AI With Joe Rogan",2020-05-07 15:28:00-04:00,TSLA
1261360,'Elon Musk hints at Tesla Roadster being delayed to 2022' -Electrek,2020-05-07 14:44:00-04:00,TSLA
530735,'China could have prevented the deaths of thousands of people worldwide and spared the world a descent into global economic malaise. They had a choice....' -Tweet From US Secretary Of State Mike Pompeo,2020-05-07 11:21:00-04:00,FXI
530734,"'...China is still refusing to share the information needed to keep people safe. This is not about politics, it's about saving lives.' -Tweet From Pompeo",2020-05-07 11:21:00-04:00,FXI
1261362,"Tesla Reportedly Halts Production At Chinese Factory, Bringing Global Production To Standstill",2020-05-07 10:00:00-04:00,TSLA
1261363,Elon Musk To Join Joe Rogan's Podcast Again During Eventful Week For Tesla CEO,2020-05-07 07:53:00-04:00,TSLA
1261364,"'Tesla Shanghai factory halts production for unknown reasons, shaking concept stocks' -China's National Business Daily",2020-05-07 05:58:00-04:00,TSLA
1261365,Tesla Preparing to Restart Some Car Production in Fremont,2020-05-07 05:24:00-04:00,TSLA
1261366,Tesla Prepares To Restart Production At Fremont Factory This Week: Report,2020-05-06 23:06:00-04:00,TSLA
530736,"Trump Says He Believes U.s. Death Toll Figures, Says He Does Not Believe the Data About Deaths in China",2020-05-06 15:48:00-04:00,FXI
530737,UPDATE: Trump Says Will Be Able To Report If China Is Fulfilling Trade-Related Obligations In 1-2 Weeks,2020-05-06 15:41:00-04:00,FXI
530738,Stocks Unaffected As Trump Says China May Or May Not Keep The Trade Deal,2020-05-06 15:40:00-04:00,FXI
530739,"'BankofChina will shoulder all the losses caused by the negative territory in the #WTI May contracts, and compensate 20% of investors' principals...' -Tweet From China's National Business Daily",2020-05-06 11:05:00-04:00,FXI
530740,US Secretary Of State Pompeo Says WHO Still Needs To Demand A Probe Into China's Handling Of Coronavirus,2020-05-06 10:15:00-04:00,FXI
530741,US Secretary Of State Mike Pompeo Says Countries Starting To Understand Risks Of Doing Business With China,2020-05-06 10:06:00-04:00,FXI
530742,China Considers Dropping Numerical Gdp Growth Target for 2020,2020-05-06 06:56:00-04:00,FXI
530743,"Russia's Deputy Energy Minister Says Second Wave of Economic Slowdown is Not Ruled Out, Including U.S.- China Trade War",2020-05-06 06:41:00-04:00,FXI
1261368,Elon Musk Qualifies For $700M In Stock Options As Tesla Tops $100B Market Cap Average,2020-05-05 23:20:00-04:00,TSLA
1261369,Electreck.Co Says Tesla Modle 3 Was The Best Selling Car In The UK In April,2020-05-05 12:35:00-04:00,TSLA
1261370,6 Reasons Why Morgan Stanley Says Tesla's Next Gigafactory Location Is Texas,2020-05-05 11:53:00-04:00,TSLA
530744,"Report From German Federal Gov't. Agency Responsible For Research Of Disease Control Prevention, Robert Koch Institute, Says A Second Wave Of Coronavirus Is Expected 'With Great Certainty'",2020-05-05 10:59:00-04:00,FXI
530745,"Trump Says Dr. Fauci Will Testify Before Senate Panel, Related To Information Dissemination By China",2020-05-05 10:28:00-04:00,FXI
530746,WHO Says Question of Origin of the Virus in China is Really Really Important; May Need a Further Mission to China to Explore This,2020-05-05 06:00:00-04:00,FXI
1261372,Elon Musk Confirms Grimes Has Given Birth: 'Mom & Baby All Good',2020-05-04 23:29:00-04:00,TSLA
1261373,2 Of Elon Musk's Houses May Actually Be For Sale: Here's Why,2020-05-04 21:33:00-04:00,TSLA
1261374,'Tesla gets hope to reopen Fremont factory quicker as California relaxes quarantine' -Electrek,2020-05-04 17:09:00-04:00,TSLA
530748,US Ways And Committee Chairman Urges Trump Administration To Take Measures Needed To Increase Domestic Production To Resolve Shortages Of Medical Supplies And Drugs,2020-05-04 16:47:00-04:00,FXI
530749,US Ways And Means Committee Chairman Calls For 90-day Suspension Of All Tariffs On Products Releated To Coronavirus Health Crisis,2020-05-04 16:46:00-04:00,FXI
530750,Petrobras Had Record Crude Exports In April As Demand From China Recovered,2020-05-04 15:50:00-04:00,FXI
530751,WHO Expert On Pompeo Remarks About Origin Of Virus In Wuhan Says 'From Our Perspective This Remains Speculative',2020-05-04 13:15:00-04:00,FXI
530752,Shanghai Disneyland Set To Open In Next 2-3 Weeks -Earlier NYT Report,2020-05-04 13:10:00-04:00,FXI
530753,WHO Head Tedros Says WHO Will Launch Updated Strategic Response Plan  Later This Week,2020-05-04 12:30:00-04:00,FXI
530754,WHO Head Tedros Says Coronavirus 'Will Be With Us For A Long Time',2020-05-04 12:28:00-04:00,FXI
530755,'Major lender China Construction Bank announced late Mon it would entirely or partially suspend trade of its products linked to commodity futures when intl commodity market prices are nearing zero...' -Tweet From China's Global Times,2020-05-04 11:13:00-04:00,FXI
1261375,Why Tesla's Stock Is Trading Higher Today,2020-05-04 10:58:00-04:00,TSLA
1261376,Tesla shares are trading higher after Morgan Stanley raised its price target on the stock from $440 to $680.,2020-05-04 10:25:00-04:00,TSLA
530756,Hearing White House Advisor Peter Navarro Calls China's Handling Of Coronavirus Pandemic 'Much Bigger' Issue Than Trade Deal,2020-05-04 10:10:00-04:00,FXI
1261377,"Morgan Stanley Maintains Equal-Weight on Tesla, Raises Price Target to $680",2020-05-04 08:18:00-04:00,TSLA
530757,"Reuters, Citing People Familiar With Matter Says 'Beijing faces a wave of anti-China sentiment led by the United States in the aftermath of the pandemic and needs to be prepared in a worst-case scenario for armed confrontation'",2020-05-04 07:18:00-04:00,FXI
530758,Internal Chinese Report Cited By Reuters Warns Beijing Faces Global Backlash Over Virus,2020-05-04 07:17:00-04:00,FXI
530759,Trump Says Expects 75K to 100K Deaths From Coronavirus in U.S.,2020-05-03 19:23:00-04:00,FXI
1261378,Tesla Teases Battery Module And Pack Production Line At Giga Shanghai,2020-05-03 10:51:00-04:00,TSLA
1261381,Tesla Applies for UK Electricity Provider Licence,2020-05-02 15:36:00-04:00,TSLA
1261382,Tesla Achieves Record Safety with Autopilot _ More than 50% Improvement,2020-05-02 14:17:00-04:00,TSLA
530760,Sun Yat-sen University's Dr. Sun Jiufeng Says China Covid-19 Vaccine is Expected to be Ready by End of this Year or Early Next Year,2020-05-02 13:06:00-04:00,FXI
530761,VOA's Steve Herman Reports WH Press Secretary Says Trump Statement On Coronavirus Origination Consistent With Intelligence Report,2020-05-01 14:20:00-04:00,FXI
1261385,Elon Musk Says Twitter Comments are Not a Joke,2020-05-01 13:40:00-04:00,TSLA
1261386,"Elon Musk Says Tesla's Stock Price Is Too High, Tweets About Freedom, Gene Wilder And More",2020-05-01 12:30:00-04:00,TSLA
1261387,Tesla Shares Fall 5+% To Below $760 Level Following Elon Musk Tweet The Share Price Is 'Too High',2020-05-01 11:20:00-04:00,TSLA
1261388,'Tesla stock price is too high imo' -Tweet From Elon Musk,2020-05-01 11:13:00-04:00,TSLA
1261389,Tesla shares are trading lower potentially on market weakness as investor uncertainty grows on quarterly earnings reports from multiple companies. NOTE: David Einhorn questioned Tesla's accounting practices on Thursday.,2020-05-01 10:39:00-04:00,TSLA
530763,"White House Econ Advisor Larry Kudlow Currently Interviewing On CNBC, Says Phase 1 Deal With China 'Moving Along'",2020-05-01 09:21:00-04:00,FXI
530765,S&P Futures Fall 2%; President Trump on Thursday Threatened to Impose New tariffs on China over Coronavirus Crisis,2020-05-01 05:55:00-04:00,FXI
1261391,Tesla Shares Decline After Einhorn Publicly Questions Automaker's Accounting Practices,2020-05-01 02:15:00-04:00,TSLA
530766,"Trump Says He Does Not Have To Stop Debt Payments To China, He Can Do Tariffs",2020-04-30 17:31:00-04:00,FXI
530767,US President Trump Says The China Trade Deal Now Is Secondary To What China Did With The Virus,2020-04-30 17:15:00-04:00,FXI
1261394,Earlier Bloomberg Article Highlights Greenlight's Einhorn Questioning Tesla's Billing Practices,2020-04-30 13:34:00-04:00,TSLA
1261396,"Tesla Analysts Break Down Free Cash Flow, Fremont Shutdown, 2020 Expectations After Q1 Print",2020-04-30 12:57:00-04:00,TSLA
1261398,'Elon Musk: one of the most exciting days in Tesla history is coming _ hints at 'Terafactory'' -Electrek,2020-04-30 12:20:00-04:00,TSLA
530771,"US Intelligence Agencies Say Coronavirus Is Not Man-Made Or Altered, Still Studying If Outbreak Began In China Lab Accident",2020-04-30 09:44:00-04:00,FXI
1261402,"Oppenheimer Maintains Outperform on Tesla, Raises Price Target to $968",2020-04-30 09:26:00-04:00,TSLA
1261403,"B of A Securities Reiterates Underperform on Tesla, Raises Price Target to $500",2020-04-30 08:21:00-04:00,TSLA
1261405,"JMP Securities Maintains Market Outperform on Tesla, Raises Price Target to $1020",2020-04-30 08:10:00-04:00,TSLA
1261406,Tesla shares are trading higher after the company reported better-than-expected Q1 EPS and sales results. The company also reported Q1 Model S/X production was up 9% year over year and Model 3/Y product was up 39% year over year.,2020-04-30 07:53:00-04:00,TSLA
530772,"China Starts Trial Of Publicly Offered REITs, Allows Publicly Offered REITs In Infrastructure Sect",2020-04-30 07:30:00-04:00,FXI
1261408,"Wedbush Maintains Neutral on Tesla, Raises Price Target to $600",2020-04-30 07:23:00-04:00,TSLA
1261409,"Credit Suisse Maintains Neutral on Tesla, Raises Price Target to $700",2020-04-30 07:15:00-04:00,TSLA
1261410,"Piper Sandler Maintains Overweight on Tesla, Raises Price Target to $939",2020-04-30 07:13:00-04:00,TSLA
1261412,"Tesla 10-Q Filing Recently Out; Showed Co. Intends To Apply, Sees Being Granted Deferral For Obligations Related To Investment, Employment Targets At Gigafactory New York For 1 Year",2020-04-30 06:54:00-04:00,TSLA
1261414,"Tesla Says Price for China-made Standard Range Plus Model 3 Vehicles Will Be Lowered to Below 300,000 Yuan to Qualify for Subsidies",2020-04-30 05:24:00-04:00,TSLA
1261416,Government Subsidies Drive Tesla To Lower Model 3 Price In China,2020-04-30 04:42:00-04:00,TSLA
1261417,"'Impressive Performance In A Dark Environment,' Wedbush, Gene Munster React To Tesla's Q1 Results",2020-04-29 23:32:00-04:00,TSLA
1261418,Elon Musk Calls Bay Area's Shelter-In-Place Order 'Fascist' In Vulgar Conference Call Rant,2020-04-29 19:42:00-04:00,TSLA
1261419,From Conference Call: Tesla CEO Says Might Announce Next Gigafactory in 1-3 Months in the U.S.,2020-04-29 19:10:00-04:00,TSLA
1261422,"Tesla Reports Big Q1 Earnings Beat, Near-Term Profitability 'On Hold'",2020-04-29 16:30:00-04:00,TSLA
1261423,Tesla Says Will Shift First Tesla Semi Deliveries To 2021,2020-04-29 16:20:00-04:00,TSLA
1261425,"Tesla Says Sees Production Of Model Y In Fremont, California, Model 3 In Shanghai, China Continuing To Ramp 'Gradually' Through Q2",2020-04-29 16:19:00-04:00,TSLA
1261424,"Tesla Says Continues To Build Capacity For Model Y At Gigafactorys In Berlin, Shanghai, Remain On Track To Start Deliveries From Both Locations In 2021",2020-04-29 16:19:00-04:00,TSLA
1261427,Tesla Says Near-Term Profitability Is On Hold,2020-04-29 16:18:00-04:00,TSLA
1261426,UPDATE: Tesla Says 'we will achieve industry leading operating margins and profitability with capacity expansion and localization plans underway',2020-04-29 16:18:00-04:00,TSLA
1261429,Tesla Q1 Total Deliveries Up 40% YoY,2020-04-29 16:16:00-04:00,TSLA
1261428,"Tesla Says Reached Production Of 1,000 Solar Roofs In A Single Week",2020-04-29 16:16:00-04:00,TSLA
1261432,Tesla Says Will Revisit Outlook When Co. Gives Q2 Earnings/Update,2020-04-29 16:15:00-04:00,TSLA
1261431,"Tesla Q1 Model S/X Production Up 9% YoY, Model 3/Y Production Up 39% YoY",2020-04-29 16:15:00-04:00,TSLA
1261430,Tesla Sees Capacity Installed Exceeding 500K Vehicles Delivered In 2020,2020-04-29 16:15:00-04:00,TSLA
1261434,"Tesla Q1 Adj. EPS $1.240 Beats $(0.360) Estimate, Sales $5.985B Beat $5.900B Estimate",2020-04-29 16:14:00-04:00,TSLA
1261433,"Tesla Says Model Y Deliveries Began, Significantly Ahead Of Schedule",2020-04-29 16:14:00-04:00,TSLA
1261437,"'California proposes an increase in electric trucks to 300,000 by 2035' -Electrek",2020-04-29 13:21:00-04:00,TSLA
530773,"Fauci Says China Study On Remdesivir Was Not Adequate, Underpowered",2020-04-29 12:58:00-04:00,FXI
530774,"WHO Head Tedros Says Will Be Difficult To Create A Coronavirus Vaccine, But Won't Be Impossible",2020-04-29 12:36:00-04:00,FXI
1261438,Tesla Considering Cutting Price Of Model 3 In China To Regain Access To Incentives,2020-04-29 12:14:00-04:00,TSLA
530776,US Trade Rep Lighthizer Says China Is 'Really Active' On Implementing Trade Deal,2020-04-29 11:03:00-04:00,FXI
530777,US Secretary Of State Mike Pompeo Says Gov't. Working As Hard As It Can To Lift Coronavirus-Related Travel Bans,2020-04-29 10:21:00-04:00,FXI
1261442,Tesla Shares Up 2.3% For Session But Down Sharply After Touching $800 Level; Hearing M Science Sees Reservations For Tesla Models Down 65.8% From Last Qtr.,2020-04-29 09:46:00-04:00,TSLA
1261443,"Tesla's 500,000-Vehicle Target In Question After Company Shuts Factories",2020-04-29 09:34:00-04:00,TSLA
1261444,'Free America Now': Tesla CEO Elon Musk Calls For Reopening Economy Despite Pandemic,2020-04-29 09:18:00-04:00,TSLA
1261446,Tesla shares are trading higher potentially in anticipation of the company Q1 earnings report.,2020-04-29 09:04:00-04:00,TSLA
1261447,Tesla Reveals How Much Business It Has Done With Elon Musk's Other Company SpaceX Since 2019,2020-04-29 06:52:00-04:00,TSLA
530779,IMF Says Executive Board Approved $3.4B In Emergency Aid For Coronavirus Response,2020-04-28 15:31:00-04:00,FXI
1261451,'Electric vehicles are taking over sales charts in Europe and the @Tesla Model 3 has been leading the way' -Inside EVs,2020-04-28 14:57:00-04:00,TSLA
1261452,Tesla Q1 Earnings Preview: Analysts Convinced Of Long-Term Potential Ahead Of The Print,2020-04-28 14:54:00-04:00,TSLA
1261453,'Tesla Is Working On Pay-As-You-Go Subscription To Its Self-Driving Package',2020-04-28 11:49:00-04:00,TSLA
1261455,Tesla Vehicles Will Now Recognize Traffic Lights And Stop Signs With Updated Software,2020-04-28 07:57:00-04:00,TSLA
1261457,Tesla's Musk Nears $750M  Options Payday,2020-04-28 05:22:00-04:00,TSLA
1261458,Tesla Reverses Gear On Reopening Fremont Facility As Stay-At-Home Orders Likely To Be Extended,2020-04-27 23:46:00-04:00,TSLA
1261460,Tesla Backtracks From Recalling Some Workers To Plant This Week,2020-04-27 12:41:00-04:00,TSLA
1261461,"Tesla shares are trading higher, potentially in anticipation of Q1 results this week. Not currently seeing company-specific news from the session.",2020-04-27 10:49:00-04:00,TSLA
1261462,'Tesla doubles down on claim Chinese EV startup stole its Autopilot source code' -Electrek,2020-04-27 09:28:00-04:00,TSLA
530782,UPDATE: US New Rules On China Restrictions Related To Exports To Military Buyers In China,2020-04-27 09:23:00-04:00,FXI
530783,"US Has Proposed New Restrictions On Certain Exports To China, Citing National Security",2020-04-27 09:22:00-04:00,FXI
530784,Chinese Frontline COVID-19 Research Firm Reported Hacked: Data Now On Dark Web,2020-04-26 11:24:00-04:00,FXI
530785,China Tried to Patent Potential Coronavirus Drug Remsvidir the Day After Beijing Confirmed Virus Was Transmissable Between Humans,2020-04-26 11:14:00-04:00,FXI
530788,China Reports No New Coronavirus Deaths for 10th Straight Day,2020-04-25 09:59:00-04:00,FXI
530790,"US Mission In Geneva Says Although US Will Not Be At WHO's Coronavirus Meeting, 'There Should Be No Doubt About Our Continuing Determination To Lead On Global Health Matters, Including Coronavirus Crisis'",2020-04-24 10:20:00-04:00,FXI
530791,"'China extends new energy vehicle subsidy for two more years, but excludes premium models like Tesla's #Model3. Industry expects @Tesla to cut price to meet subsidy standards' -Tweet From China's National Business Daily",2020-04-24 06:44:00-04:00,FXI
1261468,Tesla Raises China-made Model 3 Prices after EV Subsidies Cut,2020-04-24 05:21:00-04:00,TSLA
1261469,Tesla Appoints Japanese Pension Fund Manager Hiromichi Mizuno As Director,2020-04-23 23:07:00-04:00,TSLA
1261470,Tesla Appoints Hiromichi Mizuno As New Independent Director To Its Board,2020-04-23 16:09:00-04:00,TSLA
530793,"Chinese Ambassador To London Liu Xiaoming Says China Has Been Open And Transparent From The Very Beginning, China Is Not An Enemy Of The United States And If They Have Chosen China An Enemy They Are Mistaken",2020-04-23 07:18:00-04:00,FXI
530794,Hearing India Suspended Testing For Coronavirus-Related Antibodies Amid Concern Related To Accuracy,2020-04-22 13:28:00-04:00,FXI
530795,"WHO's Ryan Says Protests, Gatherings Vs Lockdowns Will Only Fuel Pandemic",2020-04-22 12:57:00-04:00,FXI
530796,NY Gov. Cuomo Says Believes 'Entire' Medical Supplies/Device Supply Chain Should Be Brought Back From China To US,2020-04-22 12:41:00-04:00,FXI
530797,"WHO Director Ryan Says Resuming Global Travel Will Take 'Careful Risk Mgmt., Adjustments'",2020-04-22 12:31:00-04:00,FXI
530798,"WHO Director Says A Number Of Countries Are Seeing Resurgence In Active Coronavirus Cases, Says That Is Because A Large Proportion OF Population Is Susceptible",2020-04-22 12:07:00-04:00,FXI
530799,US Secretary Of State Mike Pompeo Reiterates Stance US Strongly Believes Chinese Gov't. Did Not Report Coronavirus Outbreak To WHO In A Timely Fashion,2020-04-22 10:57:00-04:00,FXI
530801,Fitch Sees Global GDP Down 3.9% In 2020,2020-04-22 09:30:00-04:00,FXI
530802,"'#Shanghai #Disney Resort is discussing with authorities and @Disney headquarters on reopening date, which has been temporarily set to be contingent on the date of schools' reopening in the Chinese mainland' -Tweet From China' National Business Daily",2020-04-22 08:29:00-04:00,FXI
1261474,"B of A Securities Downgrades Tesla to Underperform, Lowers Price Target to $485",2020-04-22 07:54:00-04:00,TSLA
530804,Bloomberg Reports Kim Jong Un Was In Critical Condition,2020-04-21 14:59:00-04:00,FXI
1261476,"Tesla shares are trading lower amid overall market weakness. Stocks across sectors are moving lower today after oil prices fell to lows, partially stemming from weak demand caused by the coronavirus pandemic.",2020-04-21 12:13:00-04:00,TSLA
530807,China Agriculture Ministry Says Sichuan Province Detects African Swine Fever From Pigs Transported From Outside Province,2020-04-21 06:47:00-04:00,FXI
530808,"'#Chinese research team releases first animal experiment data on a #COVID19 #vaccine, which shows the vaccine are effective and safe on rats and non-human primates' -China's Global Times Business Source Publication",2020-04-20 17:04:00-04:00,FXI
530809,Senators Unveil Bill To Hold China Accountable For Virus Spread,2020-04-20 13:27:00-04:00,FXI
1261480,The Sound Of Electric Vehicles,2020-04-20 12:56:00-04:00,TSLA
530810,China Raises Easing Coronavirus Border Controls With Other Countries,2020-04-20 12:11:00-04:00,FXI
530812,"China Cuts 1-year Loan Prime Rate by 20 Bps, 5-year Loan Prime Rate by 10 Bps",2020-04-19 21:32:00-04:00,FXI
530813,"Reports from Multiple Sources of Possible Covid-19 Outbreak in Harbin, Capital of China's Heilongjiang Province",2020-04-18 21:00:00-04:00,FXI
530814,"Says That China's Revised Figure For Death Toll And Cases Was ""Done In An Attempt To Leave No Case Undocumented",2020-04-17 13:37:00-04:00,FXI
530815,"'China has just announced a doubling in the number of their deaths from the Invisible Enemy. It is far higher than that and far higher than the U.S., not even close!' -US President Trump",2020-04-17 12:32:00-04:00,FXI
530816,US State Dept. Statement Shows Defense Secretary Mike Pompeo Says Any Future Arms Control Talks Must Include China In Addition To Russia,2020-04-17 12:12:00-04:00,FXI
1261482,'Tesla completes massive expansion of its 'world's biggest battery' -Electrek,2020-04-17 11:17:00-04:00,TSLA
530818,White House Econ Advisor Larry Kudlow Says Evidence Of China's Ag Purchases 'Mixed',2020-04-17 09:42:00-04:00,FXI
1261483,'Tesla angers Chinese buyers by rushing deliveries before the release of long range #Model3.' -China's National Business Daily,2020-04-17 07:50:00-04:00,TSLA
530819,China's Didi Chuxing Says Aims To Complete More Than 100M Daily Trips Globally By 2022,2020-04-17 07:19:00-04:00,FXI
530820,"China's Politburo Says Will Make Prudent Monetary Policy More Flexible, Proactive Fiscal Policy More Effective",2020-04-17 07:15:00-04:00,FXI
530821,China Revises Wuhan Death Toll Upward by 50%,2020-04-17 05:33:00-04:00,FXI
1261484,Chinese Self-Driving Startup Launches 'Contactless' Deliveries To Combat Coronavirus Pandemic In California,2020-04-17 04:08:00-04:00,TSLA
1261487,Elon Musk Tweets Partial List Of Hospitals To Which Tesla Sent Ventilators,2020-04-16 13:55:00-04:00,TSLA
1261488,'California governor says ventilators promised by Elon Musk never made it to hospitals' -The Hill,2020-04-16 13:48:00-04:00,TSLA
530823,China's National Business Daily Reports Chinese Investment Bank Says Incidents At Luckin Coffee And TAL Will Make It Harder For Chinese Co.s To See US IPOs,2020-04-16 07:44:00-04:00,FXI
1261490,"CEO Elon Musk's 'Taking Tesla Private' Tweet Wasn't Merely 'Aspirational,' Judge Rules He Must Face Lawsuit",2020-04-16 03:33:00-04:00,TSLA
1261491,"VW Settlement, Market Momentum Boost California Clean Truck Projects",2020-04-15 18:26:00-04:00,TSLA
1261492,"Tesla To Report Q1 Earnings Wed., Apr. 29 After Market Close",2020-04-15 17:47:00-04:00,TSLA
1261493,Steve Grasso Says Tesla Has 'Defied All Laws Of Probability',2020-04-15 16:24:00-04:00,TSLA
530824,US Is Concerned About Possible Chinese Nuclear Testing,2020-04-15 13:13:00-04:00,FXI
530825,"Saudi Central Bank Governor Says G20 Countries Have Been Working On Currency Swap Lines, Buyback Facilities In Effort To Mitigate Impact From Coronavirus Pandemic",2020-04-15 12:58:00-04:00,FXI
1261502,Tesla shares are trading higher after Goldman Sachs initiated coverage on the company's stock with a Buy rating and $864 price target. The company also reported China registrations rose in March.,2020-04-15 06:19:00-04:00,TSLA
530827,"Fitch Says Coronavirus Shock Will Have Few Direct Consequences For Most Chinese LGFVs; Says Lower Fiscal Rev Generated By Chinese Local Govs In January, February 2020 Should Be Largely Offset By Ad Hoc Support From Central Gov",2020-04-15 06:16:00-04:00,FXI
1261504,"Goldman Sachs Initiates Coverage On Tesla with Buy Rating, Announces Price Target to $864",2020-04-15 05:27:00-04:00,TSLA
1261505,"Tesla's China Registrations Rose to 12,709 Units in March vs 2,314 in February",2020-04-15 05:21:00-04:00,TSLA
1261506,"'Choose Joplin,' A Missouri City Trying To Get Tesla To Build Gigafactory There, Offers $1B In Incentives",2020-04-15 04:47:00-04:00,TSLA
1261508,Zoox and Tesla Settle Lawsuit; Zoox to Make Payment to Tesla,2020-04-14 20:35:00-04:00,TSLA
1261509,Tesla's Stock Keeps Rising After Goldman Sachs Gives Shares $864 Price Target,2020-04-14 20:30:00-04:00,TSLA
530828,White House Says Trump Will Work On Coordinated Global Response To Pandemic In Video Conference With G7 Leaders Thurs.,2020-04-14 14:46:00-04:00,FXI
1261510,'Tesla is still getting tons of Cybertruck orders months after electric pickup unveiling' -Electrek,2020-04-14 13:55:00-04:00,TSLA
530829,Hearing Chinese Tanker 'SC Taipei' Under Attack In Gulf Of Oman By Iranian Naval Vessels,2020-04-14 13:06:00-04:00,FXI
530831,IMF Sees Global Economy Down 3% In 2020,2020-04-14 08:39:00-04:00,FXI
1261517,Tesla Striving To Cut Costs By Seeking Rent Relief As Coronavirus Affects Business,2020-04-14 07:48:00-04:00,TSLA
1261519,Tesla shares are trading higher after Credit Suisse analysts upgraded the company's stock from Underperform to Neutral and raised their price target from $415 to $580.,2020-04-14 06:17:00-04:00,TSLA
1261520,"Credit Suisse Upgrades Tesla to Neutral, Raises Price Target to $580",2020-04-14 05:50:00-04:00,TSLA
530833,"World Bank Says Has Approved $2.1B In Emergency Pandemic Aid To 31 Countries, Sees Completing Work On 40 More In Apr.",2020-04-13 13:10:00-04:00,FXI
530834,Hearing WHO Will Publish New Strategy Advice Tues. With Details On What Needs To Happen With Coronavirus Before Countries Can Lift Restrictions,2020-04-13 12:03:00-04:00,FXI
530835,WHO Says A Vaccine Is Needed To Fully Halt Coronavirus Transmission,2020-04-13 11:59:00-04:00,FXI
1261522,"'Elon Musk: Tesla's upcoming event will focus on batteries, not powertrain _ 'a lot to talk about'' -Electrek",2020-04-13 11:28:00-04:00,TSLA
1261523,"Tesla shares are trading higher following a media report that the company is now producing all Chinese Model 3s in China, meaning vehicles are not subject to import tax.",2020-04-13 08:01:00-04:00,TSLA
530837,"India Today Journalist Tweets: '2 out of 3 #COVID19 patients have benefitted from Remdesivir drug - an observational study has found @ICMRDELHI director Dr Raman GangaKhedkar,' Says Need For Ventilator/Oxygen Was Found To Have Reduced After Administration",2020-04-13 07:38:00-04:00,FXI
530838,China Says Will Step Up Coronavirus Testing And Health Management For People Leaving Wuhan,2020-04-13 07:20:00-04:00,FXI
1261524,Tesla Furlough Has Hit New Workers In Delivery And Sales The Worst: Report,2020-04-13 05:29:00-04:00,TSLA
1261526,Mike Khouw Sees Unusual Options Activity In Tesla,2020-04-11 09:50:00-04:00,TSLA
1261527,"Tesla  Says Starts Selling Locally-made Long-range Model 3 Vehicles in China to be Priced at 339,050 Yuan After Subsidies; Locally-made Performance Model 3 to be Priced at 419,800 Yuan",2020-04-10 09:39:00-04:00,TSLA
530839,'Trump team ramps up scrutiny of funds to WHO - The State Department and others have been told to get extra approvals before sending funds to the WHO',2020-04-09 15:14:00-04:00,FXI
530840,Kudlow Says Moving To 100% Immediate Expensing For American Cos. Would Lure Firms Back From China To US,2020-04-09 14:51:00-04:00,FXI
530841,Kudlow Says Trump Continues To Enjoy A Good Relationshp With Chinese Pres Xi,2020-04-09 14:49:00-04:00,FXI
1261529,"Tesla shares are trading higher amid overall market strength following a Fed loan program and optimism towards a coronavirus recovery. The company reportedly sold 10,160 units in China in March.",2020-04-09 13:28:00-04:00,TSLA
530843,OPEC Cuts 2020 Global GDP Growth Forecast From Up 2.4% Forecast In Mar. To Down 1.1%,2020-04-09 12:51:00-04:00,FXI
530845,Chinese Gov. Says China Still Faces Risks Of A Comeback In Coronavirus Outbreak,2020-04-09 07:20:00-04:00,FXI
530846,"Xinhua Reporting China Has Said It Will Increase Flexibility Of Yuan, Will Keep Yuan Basically Stable",2020-04-09 07:05:00-04:00,FXI
1261533,"Tesla Sold 10,160 Units in China in March",2020-04-09 05:49:00-04:00,TSLA
530847,WHO Head Tedros Says Politicizing The Coronavirus Issue Should Be Avoided By Countries If They Don't Want To Have Many More Body Bags,2020-04-08 13:12:00-04:00,FXI
530849,"WHO Head Tedros, When Asked About Criticism Of WHO Being Too Close To China, Says 'We Are Color Blind,' Notes Is Close To Every Nation",2020-04-08 12:26:00-04:00,FXI
1261534,Hearing Tesla Hopes To Resume U.S. Car Production May 4,2020-04-08 12:11:00-04:00,TSLA
1261535,Tesla to Furlough Hourly Workers at U.S. Car Plans Amid Coronavirus Shutdown; Hopes to Resume U.S. Car Production May 4,2020-04-08 12:10:00-04:00,TSLA
1261538,"Tesla Announces Pay Cuts, Furloughs; Aims to Get Back to Production By May 4",2020-04-08 05:24:00-04:00,TSLA
